"product_id","name","category","prod_region","prod_date","price","merchant_id","platform_id","prod_desc","last_modify_date"
"556628","秒表","日用品","Port Robertvill1e","20/07/2023","430.59","5931","56","Value four five agree play laugh window suddenly industry to dinner pick.","19/12/2023"
"556630","leg","服装","Melaniefurt","18/02/2023","40","5959","57","Even brother under poor idea guy force mission agreement.","11/12/2023"
"556632","thousand","其他","Amberfurt","06/07/2023","381.37","5928","63","Perhaps maintain end that now list these debate wide main.","19/10/2023"
"556633","attorney","其他","East Darrell","28/08/2023","63","5912","62","Room experience notice or produce year home shoulder.","28/08/2023"
"556634","sister","日用品","West Melissa","09/02/2023","249.09","5871","59","Catch value pretty space result international source ten service civil.","16/01/2023"
"556635","very","电子产品","Anthonytown","13/09/2023","117.71","5876","59","Close crime history go TV policy everything strong.","27/11/2023"
"556636","into","食品","Port Kathrynborough","29/03/2023","208.19","5891","55","Fear development I character else majority.","21/02/2023"
"556637","yes","书籍","South Bobbystad","04/06/2023","441.45","5918","55","Wear leader truth culture consumer game.","22/03/2023"
"556638","instead","书籍","Heatherberg","24/05/2023","207.09","5948","58","Condition performance despite think door whatever air.","25/04/2023"
"556639","research","家具","New Kathryn","31/07/2023","442.29","5930","61","High talk theory similar quite wait be.","26/10/2023"
"556640","wall","玩具","North Sharonbury","27/02/2023","396.72","5935","62","Bill sense visit one fear compare film course.","05/01/2023"
"556641","set","书籍","Cummingsburgh","02/12/2023","414.45","5948","56","I miss late exist commercial few letter.","02/12/2023"
"556642","against","食品","Austinview","01/05/2023","427.2","5903","57","At foot store job of management short lot news city.","25/07/2023"
"556643","mouth","书籍","Douglasbury","03/09/2023","40.78","5901","57","Shake culture professor late daughter foreign process.","18/10/2023"
"556644","though","玩具","Marissafurt","11/10/2023","303.89","5898","62","Environment class seem fire degree significant movement short market talk.","29/11/2023"
"556645","against","食品","Amyside","23/01/2023","445.06","5875","55","Budget among first floor mouth fall line campaign the give benefit.","22/03/2023"
"556646","majority","化妆品","East Phillip","27/08/2023","222.37","5899","62","Animal young time we may federal board respond not small.","29/07/2023"
"556647","accept","化妆品","Thomasfurt","30/10/2023","278.86","5923","56","Blue value issue anyone performance bring hot north seat.","09/08/2023"
"556648","leg","服装","New Markside","18/12/2022","216.17","5934","58","Position after manage experience exist product shake already.","18/07/2023"
"556649","trip","日用品","Tuckerberg","17/08/2023","410.59","5896","55","Join radio exist establish when series edge identify level behind.","13/02/2023"
"556650","wall","玩具","East Kimberlyside","10/03/2023","442.08","5938","62","Job plant rest debate public friend save space listen.","24/01/2023"
"556651","I","家具","New Crystal","07/12/2023","453.08","5926","60","Drug any hotel and others fear amount.","15/04/2023"
"556652","part","书籍","Phillipsland","20/11/2023","196.92","5959","59","About reality hit mean consumer likely color want leave like sit call station.","01/01/2023"
"556653","attorney","其他","North Scotttown","13/02/2023","335.74","5938","60","Course political responsibility guy protect action term career create international.","28/12/2022"
"556654","trip","日用品","Chavezport","28/03/2023","488.36","5952","59","Media know each first reveal sister.","28/11/2023"
"556655","whether","玩具","New Robert","06/01/2023","275.46","5930","60","Ok reach know three soldier late sing behavior major.","09/12/2023"
